sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
24,1,338.893,1237,8105,1127,4,4,1
24,1,2379.4,1408,73472,728,26,59,0.440678
24,2,354.484,2350,2368,903.5,4,4,1
24,2,2706.09,2347,60574,1216,26,32,0.8125
24,1,274.469,3509,2457,864,4,4,1
24,1,2706.09,2593,21120,744,26,28,0.928571
24,2,228.176,2076,1719,635,4,4,1
24,2,2379.4,3130,28561,848.5,26,35,0.742857
24,1,334.645,1999,2887,1155.5,4,6,0.666667
24,1,2586.14,2305,16416,620.5,26,32,0.8125
24,2,314.637,1879,1889,752.5,4,4,1
24,2,2872.08,1443,34598,783.5,26,40,0.65
24,1,257.439,1940,2080,755,4,5,0.8
24,1,2867.52,1600,19064,664,26,27,0.962963
24,2,250.063,1757,1583,556,4,4,1
24,2,2586.14,1113,18367,785,26,27,0.962963
24,1,298.878,1653,2128,764.5,4,4,1
24,1,2872.08,937,21367,647.5,26,32,0.8125
24,2,436.238,1548,5824,1285.5,4,5,0.8
24,2,2867.52,1643,20960,719,26,30,0.866667
