subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
24,1,P,-1,55795,3,135,135,3,0,1,7558
24,1,P,-2,68890,3,248,248,3,0,1,4820
24,1,P,-3,79246,3,679,679,3,0,1,5035
24,1,T,1,122346,2,85,85,2,0,1,4157
24,1,T,2,131038,2,64,64,2,0,1,4112
24,1,T,3,140688,3,472,472,3,0,1,4550
24,1,T,4,150777,3,815,815,3,0,1,4967
24,1,T,5,162290,4,3417,3417,4,0,1,5891
24,1,T,6,174723,4,6158,6158,4,0,1,5602
24,1,T,7,187874,5,52186,52186,5,0,1,6320
24,1,T,8,201738,5,42731,42731,5,0,1,5964
24,1,T,9,216248,6,392487,394278,2,4,0,7570
24,1,T,10,232363,6,378294,372849,2,4,0,7771
