subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
16,1,P,-1,51886,3,135,135,3,0,1,8697
16,1,P,-2,66117,3,248,248,3,0,1,4139
16,1,P,-3,75791,3,679,679,3,0,1,4314
16,1,T,1,90620,2,85,85,2,0,1,3642
16,1,T,2,98799,2,64,64,2,0,1,3410
16,1,T,3,107752,3,472,472,3,0,1,3329
16,1,T,4,116624,3,815,8155,3,1,0,8427
16,1,T,5,131592,4,3417,3417,4,0,1,7081
16,1,T,6,145219,4,6158,6158,4,0,1,4655
16,1,T,7,157422,5,52186,52186,5,0,1,6529
16,1,T,8,171499,5,42731,42731,5,0,1,5590
16,1,T,9,185638,6,392487,392487,6,0,1,11770
16,1,T,10,205958,6,378294,3278944,3,4,0,12615
16,1,T,11,228131,7,5917428,5917824,5,2,0,13302
16,1,T,12,250987,7,5792846,5794826,5,2,0,8293
