sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
17,1,434.317,3942,16952,5643,4,4,1
17,1,2487.65,2880,40337,1544,26,26,1
17,2,289.622,4028,4344,1724,4,4,1
17,2,2684.47,2070,74775,1640,26,42,0.619048
17,1,245.593,2582,4040,1640,4,6,0.666667
17,1,2667.56,1725,31352,1192,26,27,0.962963
17,2,331.227,1893,5576,1710,4,5,0.8
17,2,2487.65,2451,47304,1588,26,32,0.8125
17,1,480.882,1773,5160,1442.5,4,5,0.8
17,1,2684.47,1854,31455,1071.5,26,28,0.928571
17,2,326.879,1789,6432,2071,4,6,0.666667
17,2,3092.18,2788,69687,2112.5,26,43,0.604651
17,1,388.956,4691,4488,1632,4,4,1
17,1,3092.18,2450,39832,1448,26,27,0.962963
17,2,510.461,1455,6864,1983,4,7,0.571429
17,2,2667.56,1808,53183,1416.5,26,42,0.619048
17,1,366.779,5478,7408,3056.5,4,4,1
17,1,2633.39,2005,35824,1056,26,29,0.896552
17,2,264.287,1461,3584,1304,4,6,0.666667
17,2,2633.39,1627,45608,1364,26,35,0.742857
