sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
31,1,349.956,2172,3144,1168,4,4,1
31,1,2723.89,1326,22920,936,26,26,1
31,2,440.295,3671,4688,1880,4,4,1
31,2,2691.98,2015,68080,1384,26,34,0.764706
31,1,283.441,1887,2672,971.5,4,4,1
31,1,2691.98,2295,24456,904.5,26,27,0.962963
31,2,337.629,2112,5649,1160.5,4,6,0.666667
31,2,2723.89,1504,24672,876,26,26,1
31,1,335.532,1295,3416,955.5,4,5,0.8
31,1,2696.08,3069,20768,768,26,26,1
31,2,407.444,1408,5503,1300,4,4,1
31,2,2773.7,1424,34712,1028,26,28,0.928571
31,1,332.804,1688,2224,792.5,4,4,1
31,1,2773.7,1513,22256,836,26,26,1
31,2,307.049,1961,3112,1255.5,4,4,1
31,2,2696.08,1717,24585,892,26,27,0.962963
31,1,343.284,2640,2737,952,4,4,1
31,1,2730.02,1407,21519,784,26,26,1
31,2,367.692,1104,4872,987.5,4,6,0.666667
31,2,2730.02,1895,40240,1108,26,27,0.962963
