subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
24,1,P,-1,70454,3,135,135,3,0,1,3500
24,1,P,-2,79459,3,248,248,3,0,1,3230
24,1,P,-3,88195,3,679,679,3,0,1,3870
24,1,T,1,100332,2,85,85,2,0,1,2590
24,1,T,2,107426,2,64,64,2,0,1,3335
24,1,T,3,116266,3,472,472,3,0,1,3224
24,1,T,4,124994,3,815,815,3,0,1,4119
24,1,T,5,135618,4,3417,3417,4,0,1,4678
24,1,T,6,146801,4,6158,6158,4,0,1,4808
24,1,T,7,159115,5,52186,52186,5,0,1,5205
24,1,T,8,171826,5,42731,42731,5,0,1,4808
24,1,T,9,185138,6,392487,392487,6,0,1,4944
24,1,T,10,198587,6,378294,398724,3,3,0,5510
24,1,T,11,213602,7,5917428,5917428,7,0,1,8080
24,1,T,12,231187,7,5792846,5927486,2,5,0,6206
24,1,T,13,247898,8,58192647,59186247,4,4,0,6736
24,1,T,14,265139,8,59367243,59634273,4,4,0,7598
