sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
18,1,282.205,1792,4543,1352,4,4,1
18,1,2797.64,11149,17656,688,26,28,0.928571
18,2,410.728,5061,2072,752,4,4,1
18,2,2681.3,95070,19984,712,26,29,0.896552
18,1,372.285,2341,2544,888,4,4,1
18,1,2839.05,4717,16625,608,26,27,0.962963
18,2,249.49,1302,3232,1128,4,6,0.666667
18,2,2809.52,14274,19216,720,26,26,1
18,1,402.744,1254,2200,860,4,4,1
18,1,2809.52,4295,19328,596,26,28,0.928571
18,2,359.318,1287,3312,983.5,4,5,0.8
18,2,2675.04,5595,26680,772,26,29,0.896552
18,1,391.43,1758,3393,1088.5,4,6,0.666667
18,1,2675.04,1958,24256,671.5,26,35,0.742857
18,2,311.691,1245,4496,800,4,6,0.666667
18,2,2839.05,32499,18304,680,26,26,1
18,1,331.94,1439,2200,868,4,5,0.8
18,1,2681.3,2565,17312,612,26,28,0.928571
18,2,276.821,1326,1720,648,4,4,1
18,2,2797.64,17779,30143,860,26,33,0.787879
