subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
18,1,P,-1,53781,3,135,135,3,0,1,2358
18,1,P,-2,61651,3,248,248,3,0,1,4129
18,1,P,-3,71287,3,679,679,3,0,1,13525
18,1,T,1,91993,2,85,85,2,0,1,2867
18,1,T,2,99366,2,64,64,2,0,1,3166
18,1,T,3,108037,3,472,472,3,0,1,2911
18,1,T,4,116454,3,815,815,3,0,1,2830
18,1,T,5,125790,4,3417,3417,4,0,1,4213
18,1,T,6,136509,4,6158,6158,4,0,1,4135
18,1,T,7,148150,5,52186,52186,5,0,1,9606
18,1,T,8,165262,5,42731,42713,3,2,0,5294
18,1,T,9,179062,6,392487,392487,6,0,1,5710
18,1,T,10,193278,6,378294,372894,4,2,0,6462
18,1,T,11,209246,7,5917428,5197428,5,2,0,5494
18,1,T,12,224246,7,5792846,5789246,4,3,0,6678
