subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
5,1,P,-1,12671,3,135,135,3,0,1,9463
5,1,P,-2,27657,3,248,248,3,0,1,3447
5,1,P,-3,36626,3,679,679,3,0,1,4149
5,1,T,1,51178,2,85,85,2,0,1,2398
5,1,T,2,58095,2,64,64,2,0,1,2577
5,1,T,3,66196,3,472,472,3,0,1,3252
5,1,T,4,74972,3,815,815,3,0,1,2803
5,1,T,5,84299,4,3417,3417,4,0,1,3318
5,1,T,6,94141,4,6158,6158,4,0,1,4043
5,1,T,7,105712,5,52186,52186,5,0,1,5720
5,1,T,8,118962,5,42731,42731,5,0,1,4029
5,1,T,9,131520,6,392487,392487,6,0,1,4344
5,1,T,10,144393,6,378294,382794,3,3,0,4941
5,1,T,11,158865,7,5917428,5917428,7,0,1,5255
5,1,T,12,173649,7,5792846,5792846,7,0,1,8695
5,1,T,13,192875,8,58192647,5812467,4,4,0,9205
5,1,T,14,212617,8,59367243,59637249,5,3,0,10727
