subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
16,1,P,-1,40322,3,135,135,3,0,1,3101
16,1,P,-2,48944,3,248,248,3,0,1,2628
16,1,P,-3,57092,3,679,679,3,0,1,2908
16,1,T,1,66680,2,85,85,2,0,1,2741
16,1,T,2,73943,2,64,64,2,0,1,2392
16,1,T,3,81860,3,472,472,3,0,1,2425
16,1,T,4,89806,3,815,815,3,0,1,3031
16,1,T,5,99360,4,3417,3417,4,0,1,3462
16,1,T,6,109346,4,6158,6158,4,0,1,4203
16,1,T,7,121077,5,52186,52186,5,0,1,6337
16,1,T,8,134940,5,42731,42731,5,0,1,4145
16,1,T,9,147616,6,392487,392487,6,0,1,5789
16,1,T,10,161934,6,378294,372854,3,3,0,4984
16,1,T,11,176457,7,5917428,5917429,6,1,0,5909
16,1,T,12,191894,7,5792846,5972846,5,2,0,5968
