sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
50,1,214.105,1437,3440,1272,4,4,1
50,1,2663.32,1329,27664,824,26,31,0.83871
50,2,347.795,1296,24960,1336.5,4,27,0.148148
50,2,2661.17,1233,37944,1164,26,28,0.928571
50,1,303.911,2598,5311,1911,4,4,1
50,1,2661.17,1824,38016,1112.5,26,30,0.866667
50,2,292.316,1940,3920,1684,4,4,1
50,2,2719.48,1315,36463,1213.5,26,27,0.962963
50,1,345.592,1541,2672,932,4,4,1
50,1,2704.36,1235,27264,944,26,32,0.8125
50,2,372.679,2302,5703,1959.5,4,7,0.571429
50,2,2884.47,1418,26312,952,26,28,0.928571
50,1,387.763,1732,3184,1179.5,4,4,1
50,1,2719.48,1058,28808,1000,26,28,0.928571
50,2,332.449,2741,2008,715.5,4,4,1
50,2,2663.32,1179,29960,824.5,26,33,0.787879
50,1,380.559,1262,6560,1975,4,9,0.444444
50,1,2884.47,1994,27017,1000,26,27,0.962963
50,2,441.366,1239,5848,1171.5,4,7,0.571429
50,2,2704.36,1394,63497,1135.5,26,30,0.866667
