Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5104166666666666,{}
RandomForestClassifier,0.6805555555555556,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6805555555555555,"{'n_neighbors': 5, 'p': 1}"
LogisticRegression,0.5260416666666666,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.546875,"{'C': 1.5, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.6197916666666666,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.564236111111111,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
