subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
15,1,P,-1,83504,3,135,13511351135,3,8,0,13211
15,1,P,-2,102249,3,248,248,3,0,1,3903
15,1,P,-3,111687,3,679,679,3,0,1,4384
15,1,T,1,125196,2,85,85,2,0,1,3202
15,1,T,2,132933,2,64,64,2,0,1,3302
15,1,T,3,141775,3,472,472,3,0,1,2894
15,1,T,4,150212,3,815,815,3,0,1,3438
15,1,T,5,160196,4,3417,3417,4,0,1,4672
15,1,T,6,171409,4,6158,6158,4,0,1,4189
15,1,T,7,183143,5,52186,52186,5,0,1,5353
15,1,T,8,196039,5,42731,42731,5,0,1,4437
15,1,T,9,209026,6,392487,354287,3,3,0,5010
15,1,T,10,222586,6,378294,378294,6,0,1,5348
15,1,T,11,237491,7,5917428,51427,1,6,0,4968
15,1,T,12,252007,7,5792846,52746,1,6,0,4663
