subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
17,1,P,-1,73068,3,135,135,3,0,1,4048
17,1,P,-2,82668,3,248,248,3,0,1,4031
17,1,P,-3,92251,3,679,679,3,0,1,3996
17,1,T,1,105229,2,85,85,2,0,1,4547
17,1,T,2,114330,2,64,64,2,0,1,3239
17,1,T,3,123128,3,472,472,3,0,1,3197
17,1,T,4,131892,3,815,815,3,0,1,3964
17,1,T,5,142420,4,3417,3417,4,0,1,4369
17,1,T,6,153348,4,6158,6158,4,0,1,4385
17,1,T,7,165300,5,52186,52186,5,0,1,5866
17,1,T,8,178731,5,42731,42731,5,0,1,5417
17,1,T,9,192721,6,392487,392487,6,0,1,6081
17,1,T,10,207381,6,378294,327849,1,5,0,8455
17,1,T,11,225416,7,5917428,5917428,7,0,1,6915
17,1,T,12,241908,7,5792846,5927846,4,3,0,6739
17,1,T,13,259233,8,58192647,5812647,3,5,0,8712
17,1,T,14,278528,8,59367243,5962743,3,5,0,7902
