sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
202426,1,401.366,2500,4760,1934,4,7,0.571429
202426,1,2696.28,1258,16487,644,26,26,1
202426,2,382.655,866,6184,1389,4,7,0.571429
202426,2,2696.28,1463,33791,784,26,37,0.702703
202426,1,348.225,891,2055,777.5,4,4,1
202426,1,2728.8,810,15767,500,26,29,0.896552
202426,2,416.549,1094,4681,927.5,4,7,0.571429
202426,2,2749.5,1123,26855,732,26,32,0.8125
202426,1,356.292,811,4992,960.5,4,7,0.571429
202426,1,2749.5,1172,14768,511.5,26,28,0.928571
202426,2,280.912,692,2624,690,4,5,0.8
202426,2,2618.79,1181,33743,684,26,40,0.65
202426,1,423.181,921,3608,757,4,7,0.571429
202426,1,2618.79,1110,24912,660,26,39,0.666667
202426,2,360.24,2339,2823,1171.5,4,5,0.8
202426,2,2728.8,920,36102,732,26,40,0.65
202426,1,456.242,740,2768,818,4,4,1
202426,1,2787.99,1046,19360,776,26,32,0.8125
202426,2,291.808,1017,2745,868,4,5,0.8
202426,2,2787.99,1199,20448,584.5,26,28,0.928571
