subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
1,1,P,-1,1,68838,72295,3457,3457,1,803,495
1,1,P,-1,2,68838,73991,5153,1445,3,953,390
1,1,P,-1,3,68838,74870,6032,628,5,833,300
1,1,P,-1,4,68838,78127,9289,3007,1,803,495
1,1,P,-1,5,68838,79639,10801,1261,1,803,495
1,1,P,-1,6,68838,80295,11457,406,3,953,390
1,1,P,-1,7,68838,81415,12577,870,5,833,300
1,1,P,-1,8,68838,82255,13417,590,4,623,360
1,1,P,-1,9,68838,83183,14345,678,4,623,360
1,1,P,-1,10,68838,83655,14817,222,2,503,465
1,1,P,-2,1,93643,94886,1243,1243,2,503,465
1,1,P,-2,2,93643,95415,1772,278,4,623,360
1,1,P,-2,3,93643,96000,2357,335,8,638,90
1,1,P,-3,1,102466,103246,780,779,5,833,300
1,1,P,-3,2,102466,104566,2100,1070,6,998,210
1,1,P,-3,3,102466,105078,2612,262,9,818,120
1,1,P,-3,4,102466,106415,3949,1086,7,458,180
1,1,T,1,1,113667,116590,2923,2923,8,638,90
1,1,T,1,2,113667,117335,3668,494,5,833,300
1,1,T,2,1,123699,126047,2348,2348,6,998,210
1,1,T,2,2,123699,126687,2988,389,4,623,360
1,1,T,3,1,133315,135503,2188,2188,4,623,360
1,1,T,3,2,133315,136231,2916,477,7,458,180
1,1,T,3,3,133315,137191,3876,710,2,503,465
1,1,T,4,1,143762,145830,2068,2067,8,638,90
1,1,T,4,2,143762,146711,2949,630,1,803,495
1,1,T,4,3,143762,147503,3741,542,5,833,300
1,1,T,5,1,171277,172182,905,905,3,953,390
1,1,T,5,2,171277,172984,1707,551,5,833,300
1,1,T,5,3,171277,173976,2699,742,1,803,495
1,1,T,5,4,171277,175078,3801,851,7,458,180
1,1,T,6,1,186786,187679,893,893,6,998,210
1,1,T,6,2,186786,189422,2636,1493,1,803,495
1,1,T,6,3,186786,190399,3613,726,5,833,300
1,1,T,6,4,186786,191199,4413,550,8,638,90
1,1,T,7,1,200266,200983,717,717,1,803,495
1,1,T,7,2,200266,201767,1501,533,2,503,465
1,1,T,7,3,200266,202758,2492,740,8,638,90
1,1,T,7,4,200266,203575,3309,566,6,998,210
1,1,T,8,1,212522,213095,573,573,4,623,360
1,1,T,8,2,212522,213535,1013,190,2,503,465
1,1,T,8,3,212522,214031,1509,245,7,458,180
1,1,T,8,4,212522,214663,2141,382,6,998,210
1,1,T,8,5,212522,215175,2653,262,3,953,390
1,1,T,8,6,212522,215631,3109,206,1,803,495
