subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
14,1,P,-1,8222,3,135,,0,3,0,4588
14,1,P,-2,18347,3,248,,0,3,0,2386
14,1,P,-3,26269,3,679,,0,3,0,2111
14,1,T,1,35329,2,85,,0,2,0,2598
14,1,T,2,42464,2,64,,0,2,0,12075
14,1,P,-1,89878,3,135,135,3,0,1,3793
14,1,P,-2,99214,3,248,248,3,0,1,3070
14,1,P,-3,107821,3,679,679,3,0,1,3223
14,1,T,1,117903,2,85,85,2,0,1,2549
14,1,T,2,124991,2,64,64,2,0,1,2686
14,1,T,3,133217,3,472,472,3,0,1,2499
14,1,T,4,141255,3,815,815,3,0,1,3621
14,1,T,5,151423,4,3417,3417,4,0,1,4407
14,1,T,6,162377,4,6158,6158,4,0,1,4372
14,1,T,7,174298,5,52186,52186,5,0,1,4889
14,1,T,8,186735,5,42731,42731,5,0,1,4662
14,1,T,9,199948,6,392487,39247,4,2,0,4691
14,1,T,10,213194,6,378294,378294,6,0,1,5211
14,1,T,11,227957,7,5917428,5918274,3,4,0,6991
14,1,T,12,244503,7,5792846,582716,1,6,0,9427
