Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.48358585858585856,{}
RandomForestClassifier,0.5808080808080808,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.6073232323232323,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.5265151515151515,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5404040404040403,"{'C': 1.0, 'kernel': 'linear', 'tol': 0.001}"
MLPClassifier,0.6010101010101009,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
