sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
16,1,419.12,1257,8368,1288.5,4,5,0.8
16,1,2727.76,1423,24064,916,26,28,0.928571
16,2,303.943,1694,3984,1499,4,6,0.666667
16,2,2590.37,2397,36224,1196,26,28,0.928571
16,1,334.956,1903,2656,940,4,4,1
16,1,2496.8,1312,21992,764.5,26,28,0.928571
16,2,242.57,1278,3255,1215,4,5,0.8
16,2,2731.01,1632,26888,957,26,28,0.928571
16,1,333.652,1191,4048,1184,4,5,0.8
16,1,2590.37,1151,28264,896,26,35,0.742857
16,2,312.922,1484,3225,1126,4,4,1
16,2,2496.8,1287,34472,960,26,32,0.8125
16,1,385.667,1582,2568,956,4,4,1
16,1,2731.01,849,21248,796,26,28,0.928571
16,2,395.801,1391,2760,1032,4,4,1
16,2,2727.76,1307,26648,888,26,29,0.896552
16,1,529.403,931,6976,889.5,4,10,0.4
16,1,2939.41,1140,23328,812,26,29,0.896552
16,2,379.966,1127,2712,947.5,4,5,0.8
16,2,2939.41,1198,34632,1032.5,26,27,0.962963
