Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.36,{}
RandomForestClassifier,0.5316666666666667,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.5116666666666666,"{'n_neighbors': 10, 'p': 1}"
LogisticRegression,0.45499999999999996,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.545,"{'C': 2.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.5650000000000001,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.505,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
