subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
18,1,P,-1,70386,3,135,135,3,0,1,2706
18,1,P,-2,78595,3,248,248,3,0,1,2281
18,1,P,-3,86381,3,679,679,3,0,1,2702
18,1,T,1,94622,2,85,85,2,0,1,2470
18,1,T,2,101597,2,64,64,2,0,1,2238
18,1,T,3,109339,3,472,472,3,0,1,1984
18,1,T,4,116829,3,815,815,3,0,1,2582
18,1,T,5,125916,4,3417,3417,4,0,1,3423
18,1,T,6,135844,4,6158,6158,4,0,1,2999
18,1,T,7,146348,5,52186,52186,5,0,1,4575
18,1,T,8,158428,5,42731,42731,5,0,1,3304
18,1,T,9,170237,6,392487,3924587,4,3,0,4070
18,1,T,10,182811,6,378294,378294,6,0,1,6753
18,1,T,11,199069,7,5917428,3917428,6,1,0,4886
18,1,T,12,213459,7,5792846,5792486,5,2,0,5897
