sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
18,1,322.142,1295,2159,867.5,4,4,1
18,1,2733.88,1880,14248,536,26,27,0.962963
18,2,399.92,780,3097,934.5,4,5,0.8
18,2,2733.88,1250,28320,747.5,26,28,0.928571
18,1,361.352,1102,2688,907.5,4,6,0.666667
18,1,2751.23,945,17057,552,26,28,0.928571
18,2,311.357,806,2216,671,4,4,1
18,2,2737.24,1361,27416,587.5,26,28,0.928571
18,1,351.173,838,2344,787.5,4,5,0.8
18,1,2737.24,1491,14057,487.5,26,27,0.962963
18,2,299.796,742,2536,864,4,5,0.8
18,2,2832.17,1074,23136,712,26,29,0.896552
18,1,316.909,1151,3272,760,4,6,0.666667
18,1,2768.44,1841,15152,527.5,26,28,0.928571
18,2,304.435,2454,2016,856,4,5,0.8
18,2,2751.23,874,26888,771.5,26,32,0.8125
18,1,354.756,3998,3191,1184,4,7,0.571429
18,1,2832.17,1051,17656,668,26,29,0.896552
18,2,419.115,3284,3209,1308.5,4,7,0.571429
18,2,2768.44,1010,20943,600,26,30,0.866667
