subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
18,1,P,-1,74119,3,135,135,3,0,1,3282
18,1,P,-2,82962,3,248,248,3,0,1,3116
18,1,P,-3,91629,3,679,679,3,0,1,5458
18,1,T,1,104730,2,85,85,2,0,1,3248
18,1,T,2,112536,2,64,64,2,0,1,3102
18,1,T,3,121201,3,472,472,3,0,1,2925
18,1,T,4,129688,3,815,815,3,0,1,3315
18,1,T,5,139565,4,3417,3417,4,0,1,4557
18,1,T,6,150679,4,6158,6158,4,0,1,3997
18,1,T,7,162250,5,52186,52186,5,0,1,4978
18,1,T,8,174802,5,42731,42731,5,0,1,3894
18,1,T,9,187273,6,392487,932487,4,2,0,5030
18,1,T,10,200873,6,378294,378294,6,0,1,10286
18,1,T,11,220746,7,5917428,5917428,7,0,1,5676
18,1,T,12,235999,7,5792846,5927846,4,3,0,6883
18,1,T,13,253467,8,58192647,59182647,6,2,0,14112
18,1,T,14,278146,8,59367243,59362743,6,2,0,6188
