Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.39285714285714285,{}
RandomForestClassifier,0.5982142857142857,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.53125,"{'n_neighbors': 10, 'p': 2}"
LogisticRegression,0.45089285714285715,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5089285714285715,"{'C': 1.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6026785714285714,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5625,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
