subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
48,1,P,-1,51637,3,135,135,3,0,1,8479
48,1,P,-2,65622,3,248,248,3,0,1,4959
48,1,P,-3,76087,3,679,679,3,0,1,5021
48,1,T,1,90202,2,85,85,2,0,1,3620
48,1,T,2,98326,2,64,64,2,0,1,3791
48,1,T,3,107622,3,472,472,3,0,1,3056
48,1,T,4,116182,3,815,815,3,0,1,4862
48,1,T,5,127551,4,3417,3417,4,0,1,3878
48,1,T,6,137934,4,6158,6158,4,0,1,4303
48,1,T,7,149743,5,52186,52186,5,0,1,10758
48,1,T,8,168007,5,42731,42731,5,0,1,5406
48,1,T,9,181917,6,392487,934287,2,4,0,7439
48,1,T,10,197862,6,378294,378294,6,0,1,7096
48,1,T,11,214464,7,5917428,5917428,7,0,1,7621
48,1,T,12,231591,7,5792846,57928466,7,1,0,13239
48,1,T,13,255336,8,58192647,5812947,3,5,0,8438
48,1,T,14,274280,8,59367243,59637243,6,2,0,7310
