sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
14,1,573.815,3966,9408,3227.5,4,7,0.571429
14,1,2752.17,3201,42776,697,26,32,0.8125
14,2,311.169,1598,7889,751.5,4,10,0.4
14,2,2712.64,4729,25289,632,26,32,0.8125
14,1,408.014,2616,2056,448,4,5,0.8
14,1,2712.64,1537,16193,456,26,35,0.742857
14,2,337.056,1616,1720,715.5,4,5,0.8
14,2,2752.77,2546,20617,636,26,34,0.764706
14,1,318.411,1791,1521,592,4,4,1
14,1,2752.77,1922,19176,512,26,34,0.764706
14,2,258.162,1262,1361,528,4,5,0.8
14,2,2590.3,2018,15104,512,26,30,0.866667
14,1,343.785,1958,2535,632,4,7,0.571429
14,1,2590.3,1290,18593,488,26,34,0.764706
14,2,311.562,999,1616,591.5,4,5,0.8
14,2,2752.17,1898,20424,540.5,26,33,0.787879
14,1,439.887,871,1664,627.5,4,4,1
14,1,2654.68,1050,17056,584,26,34,0.764706
14,2,297.851,813,1840,691,4,6,0.666667
14,2,2654.68,1226,15896,544,26,29,0.896552
