sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
1,1,300.212,2133,6968,1798,4,4,1
1,1,2707.72,2529,113136,764,26,41,0.634146
1,2,432.53,10772,10424,2980,4,10,0.4
1,2,2707.72,176,90249,1392,26,35,0.742857
1,1,254.091,2183,4352,948,4,5,0.8
1,1,2495.52,2610,22200,760,26,29,0.896552
1,2,456.036,4621,5432,1824,4,8,0.5
1,2,2978.13,218,43752,1048,26,30,0.866667
1,1,325.797,2596,3616,656,4,6,0.666667
1,1,2719.59,2025,21784,756.5,26,30,0.866667
1,2,251.401,2740,5744,2048,4,8,0.5
1,2,2495.52,3185,32240,863.5,26,31,0.83871
1,1,411.966,1951,2896,868,4,5,0.8
1,1,2978.13,2314,22919,664,26,28,0.928571
1,2,326.832,2933,6808,2352,4,6,0.666667
1,2,2557.51,2370,27416,820,26,27,0.962963
1,1,267.093,7036,2584,1044,4,4,1
1,1,2557.51,2250,27208,932,26,30,0.866667
1,2,412.255,5611,5761,1840,4,6,0.666667
1,2,2719.59,2281,30519,827.5,26,29,0.896552
