Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5223214285714286,{}
RandomForestClassifier,0.5758928571428571,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.5714285714285714,"{'n_neighbors': 20, 'p': 2}"
LogisticRegression,0.5357142857142857,"{'C': 2.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5758928571428572,"{'C': 1.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6116071428571429,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5044642857142857,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
