subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
14,1,P,-2,1,99584,100847,1263,1263,2,503,465
14,1,P,-2,2,99584,101542,1958,441,4,623,360
14,1,P,-2,3,99584,102685,3101,890,8,638,90
14,1,P,-3,1,109562,110526,964,963,6,998,210
14,1,P,-3,2,109562,111549,1987,769,7,458,180
14,1,P,-3,3,109562,112612,3050,809,9,818,120
14,1,T,1,1,121995,123197,1202,1201,8,638,90
14,1,T,1,2,121995,123902,1907,450,5,833,300
14,1,T,2,1,129369,130006,637,637,6,998,210
14,1,T,2,2,129369,130830,1461,570,4,623,360
14,1,T,3,1,137122,137910,788,788,4,623,360
14,1,T,3,2,137122,139220,2098,1056,7,458,180
14,1,T,3,3,137122,139887,2765,395,2,503,465
14,1,T,4,1,146255,147541,1286,1286,8,638,90
14,1,T,4,2,146255,148711,2456,916,1,803,495
14,1,T,4,3,146255,149509,3254,544,5,833,300
14,1,T,5,1,157277,158351,1074,1074,3,953,390
14,1,T,5,2,157277,159253,1976,648,4,623,360
14,1,T,5,3,157277,160166,2889,660,1,803,495
14,1,T,5,4,157277,161101,3824,682,7,458,180
14,1,T,6,1,169017,170502,1485,1484,6,998,210
14,1,T,6,2,169017,171454,2437,699,1,803,495
14,1,T,6,3,169017,172054,3037,345,5,833,300
14,1,T,6,4,169017,172774,3757,465,8,638,90
14,1,T,7,1,181192,182357,1165,1165,5,833,300
14,1,T,7,2,181192,183271,2079,661,2,503,465
14,1,T,7,3,181192,184095,2903,571,1,803,495
14,1,T,7,4,181192,185173,3981,824,8,638,90
14,1,T,7,5,181192,186030,4838,603,6,998,210
14,1,T,8,1,194577,195142,565,565,4,623,360
14,1,T,8,2,194577,196663,2086,1267,2,503,465
14,1,T,8,3,194577,197614,3037,697,7,458,180
14,1,T,8,4,194577,198414,3837,546,3,953,390
14,1,T,8,5,194577,198951,4374,282,1,803,495
14,1,T,9,1,208490,209431,941,941,3,953,390
14,1,T,9,2,208490,210765,2275,1081,9,818,120
14,1,T,9,3,208490,211686,3196,666,4,623,360
14,1,T,9,4,208490,212391,3901,451,2,503,465
14,1,T,9,5,208490,213141,4651,495,8,638,90
14,1,T,9,6,208490,213949,5459,555,7,458,180
14,1,T,10,1,223645,224381,736,736,3,953,390
14,1,T,10,2,223645,225438,1793,803,7,458,180
14,1,T,10,3,223645,226188,2543,496,8,638,90
14,1,T,10,4,223645,226887,3242,445,2,503,465
14,1,T,10,5,223645,227860,4215,719,9,818,120
14,1,T,10,6,223645,228622,4977,508,4,623,360
14,1,T,11,1,239130,239863,733,733,1,803,495
14,1,T,11,2,239130,240692,1562,576,9,818,120
14,1,T,11,3,239130,241437,2307,492,5,833,300
14,1,T,11,4,239130,242237,3107,546,7,458,180
14,1,T,11,5,239130,243063,3933,572,4,623,360
14,1,T,11,6,239130,244039,4909,724,2,503,465
14,1,T,11,7,239130,244885,5755,593,8,638,90
14,1,T,12,1,255532,256359,827,827,5,833,300
14,1,T,12,2,255532,257382,1850,771,7,458,180
14,1,T,12,3,255532,258773,3241,1138,9,818,120
14,1,T,12,4,255532,259453,3921,427,8,638,90
14,1,T,12,5,255532,260358,4826,651,2,503,465
14,1,T,12,6,255532,260838,5306,226,4,623,360
14,1,T,12,7,255532,261957,6425,866,6,998,210
