subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
14,1,P,-1,91151,3,135,,0,3,0,2912
14,1,P,-2,99584,3,248,248,3,0,1,4455
14,1,P,-3,109562,3,679,679,3,0,1,4503
14,1,T,1,121995,2,85,85,2,0,1,2852
14,1,T,2,129369,2,64,64,2,0,1,2230
14,1,T,3,137122,3,472,472,3,0,1,3607
14,1,T,4,146255,3,815,815,3,0,1,4497
14,1,T,5,157277,4,3417,3417,4,0,1,5211
14,1,T,6,169017,4,6158,6158,4,0,1,4647
14,1,T,7,181192,5,52186,52186,5,0,1,5857
14,1,T,8,194577,5,42731,42731,5,0,1,5383
14,1,T,9,208490,6,392487,394287,4,2,0,6623
14,1,T,10,223645,6,378294,378294,6,0,1,5948
14,1,T,11,239130,7,5917428,1957428,5,2,0,6863
14,1,T,12,255532,7,5792846,5798246,5,2,0,7484
