Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.611111111111111,{}
RandomForestClassifier,0.6972222222222222,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.6361111111111111,"{'n_neighbors': 20, 'p': 1}"
LogisticRegression,0.611111111111111,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6361111111111111,"{'C': 1.0, 'kernel': 'linear', 'tol': 0.001}"
MLPClassifier,0.6527777777777778,{'max_iter': 500}
XGBClassifier,0.6083333333333332,{'max_depth': 3}
