Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.3888888888888889,{}
RandomForestClassifier,0.6333333333333334,"{'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6138888888888888,"{'n_neighbors': 3, 'p': 1}"
LogisticRegression,0.5194444444444445,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5916666666666666,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.5916666666666666,{'max_iter': 500}
XGBClassifier,0.5444444444444444,{'max_depth': 3}
