subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
33,1,P,-1,8887,3,135,135,3,0,1,10994
33,1,P,-2,25391,3,248,248,3,0,1,3121
33,1,P,-3,34018,3,679,679,3,0,1,3694
33,1,T,1,47846,2,85,85,2,0,1,2570
33,1,T,2,54923,2,64,64,2,0,1,3901
33,1,T,3,64330,3,472,472,3,0,1,2830
33,1,T,4,72667,3,815,815,3,0,1,3573
33,1,T,5,82746,4,3417,3417,4,0,1,3725
33,1,T,6,92977,4,6158,6158,4,0,1,3631
33,1,T,7,104115,5,52186,52186,5,0,1,6837
33,1,T,8,118458,5,42731,42731,5,0,1,4654
33,1,T,9,131619,6,392487,9352487,0,7,0,19365
33,1,T,10,159491,6,378294,37824,4,2,0,11340
