subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
25,1,P,-1,46355,3,135,13515,3,2,0,8874
25,1,P,-2,60766,3,248,248,3,0,1,14574
25,1,P,-3,80871,3,679,679,3,0,1,3614
25,1,T,1,90276,2,85,85,2,0,1,2322
25,1,T,2,97134,2,64,64,2,0,1,2382
25,1,T,3,105060,3,472,472,3,0,1,3059
25,1,T,4,113664,3,815,815,3,0,1,3676
25,1,T,5,123882,4,3417,3417,4,0,1,4003
25,1,T,6,134423,4,6158,6158,4,0,1,3821
25,1,T,7,145782,5,52186,52186,5,0,1,4035
25,1,T,8,157360,5,42731,42731,5,0,1,4584
25,1,T,9,170490,6,392487,392487,6,0,1,4804
25,1,T,10,183836,6,378294,378294,6,0,1,5059
25,1,T,11,198442,7,5917428,9517248,3,4,0,5246
25,1,T,12,213239,7,5792846,5924786,2,5,0,5210
