Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.3611111111111111,{}
RandomForestClassifier,0.4870370370370371,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40}"
KNeighborsClassifier,0.4870370370370371,"{'n_neighbors': 1, 'p': 1}"
LogisticRegression,0.37777777777777777,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.4259259259259259,"{'C': 1.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.5407407407407407,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
