sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
49,1,313.626,1717,4448,1326.5,4,6,0.666667
49,1,2607.55,1049,19573,777,26,26,1
49,2,304.068,1396,5048,1370,4,6,0.666667
49,2,2559.08,2432,25483,816,26,31,0.83871
49,1,350.108,1332,3408,1150,4,5,0.8
49,1,2525.74,1747,19399,712,26,27,0.962963
49,2,414.181,943,2744,811.5,4,6,0.666667
49,2,2473.07,898,22136,816,26,31,0.83871
49,1,264.201,1396,2112,756,4,4,1
49,1,2559.08,738,19915,749,26,26,1
49,2,308.243,1406,4112,1172,4,7,0.571429
49,2,2525.74,874,21344,688,26,29,0.896552
49,1,369.027,1223,2384,939.5,4,4,1
49,1,2859.77,1354,15896,579.5,26,29,0.896552
49,2,238.503,671,2048,644,4,7,0.571429
49,2,2859.77,1027,21767,651.5,26,30,0.866667
49,1,395.64,1705,2862,1026,4,5,0.8
49,1,2473.07,1698,16792,632,26,28,0.928571
49,2,371.772,910,2016,796,4,4,1
49,2,2607.55,1170,22143,732.5,26,30,0.866667
