subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
13,1,P,-1,18624,3,135,135,3,0,1,4145
13,1,P,-2,28281,3,248,248,3,0,1,3680
13,1,P,-3,37467,3,679,679,3,0,1,3700
13,1,T,1,47732,2,85,85,2,0,1,2500
13,1,T,2,54736,2,64,64,2,0,1,3376
13,1,T,3,63618,3,472,472,3,0,1,4079
13,1,T,4,73202,3,815,815,3,0,1,2925
13,1,T,5,82632,4,3417,3417,4,0,1,4024
13,1,T,6,93160,4,6158,6158,4,0,1,3641
13,1,T,7,104304,5,52186,52186,5,0,1,5064
13,1,T,8,116874,5,42731,42731,5,0,1,7134
13,1,T,9,132514,6,392487,1642987,0,7,0,5438
13,1,T,10,146458,6,378294,378294,6,0,1,7790
13,1,T,11,163753,7,5917428,5917482,5,2,0,7688
13,1,T,12,180945,7,5792846,527983,2,5,0,6055
