Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5666666666666667,{}
RandomForestClassifier,0.6333333333333334,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}"
KNeighborsClassifier,0.611111111111111,"{'n_neighbors': 10, 'p': 1}"
LogisticRegression,0.611111111111111,"{'C': 1.5, 'solver': 'sag', 'tol': 0.01}"
SVC,0.5666666666666667,"{'C': 1.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.5666666666666667,{'max_iter': 500}
XGBClassifier,0.611111111111111,{'max_depth': 3}
