subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
6,1,P,-1,70653,3,135,135,3,0,1,5522
6,1,P,-2,81681,3,248,248,3,0,1,3831
6,1,P,-3,91018,3,679,697,1,2,0,3605
6,1,T,1,107717,2,85,58,0,2,0,5346
6,1,T,2,117570,2,64,64,2,0,1,4246
6,1,T,3,127323,3,472,472,3,0,1,3228
6,1,T,4,136059,3,815,815,3,0,1,3677
6,1,T,5,146242,4,3417,3417,4,0,1,4357
6,1,T,6,157107,4,6158,6158,4,0,1,4461
6,1,T,7,169074,5,52186,52186,5,0,1,6028
6,1,T,8,182610,5,42731,42731,5,0,1,4158
6,1,T,9,195275,6,392487,392478,4,2,0,10100
6,1,T,10,213883,6,378294,378249,4,2,0,7605
