subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
20,1,P,-1,119574,3,135,135,3,0,1,4818
20,1,P,-2,129897,3,248,1356,0,4,0,9936
20,1,P,-3,145339,3,679,679,3,0,1,4205
20,1,T,1,158893,2,85,85,2,0,1,2611
20,1,T,2,166010,2,64,64,2,0,1,2102
20,1,T,3,173618,3,472,472,3,0,1,3262
20,1,T,4,182385,3,815,815,3,0,1,3094
20,1,T,5,191984,4,3417,3417,4,0,1,3256
20,1,T,6,201745,4,6158,6158,4,0,1,5663
20,1,T,7,214914,5,52186,52186,5,0,1,5062
20,1,T,8,227482,5,42731,42731,5,0,1,4022
20,1,T,9,240010,6,392487,934287,2,4,0,7862
20,1,T,10,256377,6,378294,387249,2,4,0,6999
