sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
20,1,300.766,2685,15312,2010.5,4,4,1
20,1,2736.77,3224,23768,808,26,28,0.928571
20,2,194.1,3365,4247,1791.5,4,4,1
20,2,2562.31,1872,86208,1100,26,32,0.8125
20,1,401.584,6499,11080,4033.5,4,4,1
20,1,2562.31,2039,21272,780,26,26,1
20,2,241.16,1669,3447,1258.5,4,4,1
20,2,2805.19,3281,51392,1064,26,27,0.962963
20,1,340.71,1675,3480,1311.5,4,4,1
20,1,2985.03,1632,23136,867.5,26,28,0.928571
20,2,353.995,3301,2728,1132,4,4,1
20,2,2985.03,1647,32304,1128,26,26,1
20,1,310.108,1773,2936,1072.5,4,4,1
20,1,2735.63,2047,18297,712,26,26,1
20,2,281.098,1198,3160,879,4,4,1
20,2,2735.63,2167,31159,1076,26,26,1
20,1,454.287,2796,2535,1023.5,4,4,1
20,1,2805.19,1303,21975,783.5,26,26,1
20,2,316.406,910,3352,767,4,4,1
20,2,2736.77,5017,37920,940,26,26,1
