sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
16,1,391.632,1703,2304,864,4,4,1
16,1,2728.25,3193,25528,772,26,29,0.896552
16,2,356.538,3491,4680,972,4,5,0.8
16,2,2868.94,2843,55080,1112,26,30,0.866667
16,1,411.235,1955,2032,736,4,5,0.8
16,1,2911.64,2059,19912,672,26,26,1
16,2,245.824,2060,2976,1116,4,5,0.8
16,2,2728.25,3235,46864,1472,26,26,1
16,1,296.962,860,2928,950,4,4,1
16,1,2868.94,1731,18328,692,26,28,0.928571
16,2,304.958,1284,3568,1050,4,4,1
16,2,2911.64,3418,48600,1200,26,32,0.8125
16,1,295.259,2948,1816,732,4,4,1
16,1,2965.38,1396,22096,744,26,29,0.896552
16,2,500.645,1060,3576,1130,4,4,1
16,2,2692.13,3475,37393,1020,26,32,0.8125
16,1,335.216,4204,1744,612,4,4,1
16,1,2692.13,2404,27456,792,26,26,1
16,2,215.714,1972,1992,732,4,6,0.666667
16,2,2965.38,4497,57784,1520,26,38,0.684211
