Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5208333333333334,{}
RandomForestClassifier,0.7291666666666666,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
KNeighborsClassifier,0.75,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.475,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5791666666666667,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6583333333333333,"{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'max_iter': 1500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.6,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
