sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
28,1,333.471,1,4922,1249.5,4,12,0.333333
28,1,2564.53,20582,14632,568,26,30,0.866667
28,2,327.207,1744,2952,1224,4,9,0.444444
28,2,2744.56,24278,19712,700,26,27,0.962963
28,1,362.292,2440,1920,792,4,5,0.8
28,1,2741.32,1905,15208,636,26,30,0.866667
28,2,336.217,1599,1928,644,4,5,0.8
28,2,2564.53,3063,16576,652,26,28,0.928571
28,1,363.578,1360,1816,644,4,5,0.8
28,1,2744.56,1815,17176,688,26,38,0.684211
28,2,339.745,2024,2000,768,4,6,0.666667
28,2,2741.32,8664,21056,616,26,28,0.928571
28,1,324.784,1104,1632,592,4,4,1
28,1,2570.48,1471,16680,600,26,29,0.896552
28,2,230.327,1335,1872,772,4,5,0.8
28,2,2570.48,1383,13888,548,26,28,0.928571
28,1,283.739,1144,2264,896,4,6,0.666667
28,1,2848.13,4077,18112,656,26,30,0.866667
28,2,310.271,1015,1720,624,4,5,0.8
28,2,2848.13,1351,18624,660,26,30,0.866667
