sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
202424,1,389.405,3594,3920,1672.5,4,4,1
202424,1,2625.5,1621,20176,792.5,26,26,1
202424,2,437.49,1003,5936,1744,4,7,0.571429
202424,2,2696.98,2245,88248,1123,26,44,0.590909
202424,1,280.933,1581,2328,884,4,4,1
202424,1,2696.98,1391,18719,699.5,26,26,1
202424,2,285.083,32,3293,688,4,7,0.571429
202424,2,3041.97,1397,36664,979,26,27,0.962963
202424,1,477.306,981,1952,772,4,4,1
202424,1,2687.88,1238,16871,631.5,26,26,1
202424,2,258.434,965,1391,528,4,4,1
202424,2,2687.88,1005,24633,864.5,26,26,1
202424,1,359.624,872,1496,544,4,4,1
202424,1,3041.97,1523,24728,784,26,28,0.928571
202424,2,370.587,1290,6223,1980.5,4,7,0.571429
202424,2,2600.12,2492,37273,1192.5,26,29,0.896552
202424,1,433.364,1298,5512,1565,4,7,0.571429
202424,1,2600.12,1308,20649,783.5,26,26,1
202424,2,220.27,2154,2136,868,4,5,0.8
202424,2,2625.5,1286,22615,736,26,26,1
