Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4871031746031746,{}
RandomForestClassifier,0.5922619047619048,"{'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 40}"
KNeighborsClassifier,0.47321428571428575,"{'n_neighbors': 1, 'p': 1}"
LogisticRegression,0.4156746031746032,"{'C': 1.0, 'solver': 'sag', 'tol': 0.01}"
SVC,0.6160714285714286,"{'C': 2.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.5357142857142857,"{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5952380952380952,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
