Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5249999999999999,{}
RandomForestClassifier,0.6125,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}"
KNeighborsClassifier,0.5875,"{'n_neighbors': 3, 'p': 1}"
LogisticRegression,0.4583333333333333,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.0001}"
SVC,0.6416666666666667,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.5708333333333333,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5875,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
