subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
20,1,P,-1,14722,3,135,135,3,0,1,4347
20,1,P,-2,24580,3,248,248,3,0,1,5664
20,1,P,-3,35750,3,679,679,3,0,1,4414
20,1,T,1,49313,2,85,85,2,0,1,3243
20,1,T,2,57062,2,64,64,2,0,1,3047
20,1,T,3,65614,3,472,472,3,0,1,3726
20,1,T,4,74846,3,815,815,3,0,1,4366
20,1,T,5,85718,4,3417,3417,4,0,1,6144
20,1,T,6,98368,4,6158,6158,4,0,1,5941
20,1,T,7,111815,5,52186,52186,5,0,1,7798
20,1,T,8,127118,5,42731,42731,5,0,1,5398
20,1,T,9,141021,6,392487,93247,2,4,0,5063
20,1,T,10,154589,6,378294,378294,6,0,1,6152
20,1,T,11,170246,7,5917428,5917429,6,1,0,7959
20,1,T,12,187710,7,5792846,5927846,4,3,0,9439
