sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
202425,1,281.206,28377,2417,836.5,4,4,1
202425,1,2974.23,6648,21241,823.5,26,28,0.928571
202425,2,344.457,2067,3119,1190.5,4,4,1
202425,2,2815.7,1775,54535,1048.5,26,30,0.866667
202425,1,360.776,3612,2543,959.5,4,4,1
202425,1,2815.7,3779,19536,771.5,26,26,1
202425,2,477.917,1771,2953,1116,4,4,1
202425,2,2486.68,1971,42184,1072,26,29,0.896552
202425,1,272.033,1522,4400,1661,4,5,0.8
202425,1,2577.7,1661,20929,780,26,27,0.962963
202425,2,235.369,1424,2441,878,4,5,0.8
202425,2,2577.7,1494,29121,959.5,26,28,0.928571
202425,1,447.109,2385,2489,925,4,4,1
202425,1,2486.68,2348,18504,628.5,26,26,1
202425,2,234.205,1505,1887,683.5,4,4,1
202425,2,2974.23,2195,44152,972,26,30,0.866667
202425,1,493.236,1561,3440,1312.5,4,4,1
202425,1,2885.02,1803,20456,732.5,26,26,1
202425,2,395.476,1322,3960,1369,4,4,1
202425,2,2885.02,1485,28288,900,26,29,0.896552
