Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5492424242424242,{}
RandomForestClassifier,0.6856060606060606,"{'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6376262626262627,"{'n_neighbors': 10, 'p': 1}"
LogisticRegression,0.43686868686868685,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5492424242424242,"{'C': 2.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.6300505050505051,"{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5757575757575757,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 200}"
