sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
14,1,414.083,6308,2897,1160.5,4,4,1
14,1,2670.1,2571,19847,591.5,26,29,0.896552
14,2,317.903,1662,2048,848.5,4,5,0.8
14,2,2963.95,1301,27032,931.5,26,26,1
14,1,426.226,1334,1655,591.5,4,4,1
14,1,2963.95,1881,17520,628,26,28,0.928571
14,2,562.826,1659,2320,852,4,4,1
14,2,2648.16,1493,20048,760,26,26,1
14,1,313.556,1374,1896,704,4,4,1
14,1,2750.27,1210,18456,660,26,27,0.962963
14,2,408.608,1055,1680,616,4,4,1
14,2,2750.27,1051,19208,756,26,26,1
14,1,343.624,1084,1665,608,4,4,1
14,1,2648.16,1251,16247,656,26,26,1
14,2,394.661,1230,2264,867,4,4,1
14,2,2670.1,1231,22160,732,26,28,0.928571
14,1,339.978,1055,1752,632,4,4,1
14,1,2589.85,1117,17336,639.5,26,30,0.866667
14,2,410.421,749,4176,786.5,4,5,0.8
14,2,2589.85,1179,25968,756,26,28,0.928571
