sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
17,1,412.144,1850,7936,2157,4,5,0.8
17,1,2779.65,2685,105375,792.5,26,37,0.702703
17,2,355.337,1749,3648,1350,4,4,1
17,2,2932.88,1388,33424,1128,26,26,1
17,1,420.412,1183,6744,1019,4,6,0.666667
17,1,2887.49,2731,25607,900,26,27,0.962963
17,2,359.962,1326,2377,812.5,4,4,1
17,2,2887.49,1661,28281,920.5,26,26,1
17,1,257.358,1183,2663,935,4,4,1
17,1,2891.07,1564,21248,808.5,26,27,0.962963
17,2,285.02,1149,1824,620,4,4,1
17,2,2891.07,1753,49648,900,26,41,0.634146
17,1,435.472,1270,3160,1195,4,4,1
17,1,2932.88,1233,32160,895.5,26,31,0.83871
17,2,387.642,2614,3575,1136,4,5,0.8
17,2,2779.65,3568,32008,868,26,29,0.896552
17,1,483.088,1750,2544,924,4,4,1
17,1,2657.12,1066,24168,844,26,30,0.866667
17,2,395.086,870,2384,815,4,4,1
17,2,2657.12,1128,25528,905,26,27,0.962963
