sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
16,1,300.522,18816,6056,1444.5,4,5,0.8
16,1,2836.24,2113,20344,776,26,26,1
16,2,264.574,2117,3024,1172,4,4,1
16,2,2836.24,1444,41536,1156,26,31,0.83871
16,1,293.364,1790,3832,1299,4,4,1
16,1,2561.33,4446,25719,655.5,26,27,0.962963
16,2,376.742,2373,3841,1428,4,4,1
16,2,2516.02,1908,32840,824,26,29,0.896552
16,1,286.813,1460,3480,692,4,6,0.666667
16,1,2785.78,2708,18496,672,26,26,1
16,2,299.089,1683,3456,852,4,6,0.666667
16,2,2785.78,4009,24112,832,26,27,0.962963
16,1,387.647,1855,3504,912.5,4,7,0.571429
16,1,2516.02,1380,18288,608.5,26,29,0.896552
16,2,271.114,1260,8624,2074.5,4,12,0.333333
16,2,2665.95,1885,25801,899.5,26,28,0.928571
16,1,372.971,1941,2448,972.5,4,4,1
16,1,2665.95,3027,17752,620,26,28,0.928571
16,2,345.072,1429,3440,1222.5,4,5,0.8
16,2,2561.33,1380,20928,688,26,28,0.928571
