sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
19,1,369.072,3150,6479,2051,4,4,1
19,1,2533.3,1745,25168,980,26,26,1
19,2,298.825,5372,7513,3240.5,4,5,0.8
19,2,2533.3,2051,31504,1032,26,27,0.962963
19,1,331.091,1432,3591,672.5,4,6,0.666667
19,1,2865.21,2489,27256,872,26,29,0.896552
19,2,337.489,2224,2168,812,4,4,1
19,2,3043.29,4554,29168,928,26,26,1
19,1,258.339,1144,2256,864.5,4,4,1
19,1,2602.83,2897,22864,796.5,26,29,0.896552
19,2,238.108,1199,2840,1019,4,5,0.8
19,2,2652.5,1122,26744,932,26,27,0.962963
19,1,316.936,1527,2535,911.5,4,4,1
19,1,3043.29,1842,24984,968,26,26,1
19,2,246.785,983,2825,967.5,4,4,1
19,2,2865.21,2714,28128,1004,26,28,0.928571
19,1,325.368,1735,2553,952,4,4,1
19,1,2652.5,1186,19465,760.5,26,26,1
19,2,300.961,824,5856,1440,4,10,0.4
19,2,2602.83,1371,28992,1020,26,29,0.896552
