subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
17,1,P,-1,68580,3,135,135,3,0,1,6844
17,1,P,-2,80946,3,248,248,3,0,1,3265
17,1,P,-3,89735,3,679,679,3,0,1,5131
17,1,T,1,103042,2,85,85,2,0,1,3976
17,1,T,2,111541,2,64,64,2,0,1,3936
17,1,T,3,121002,3,472,472,3,0,1,3615
17,1,T,4,130144,3,815,815,3,0,1,4756
17,1,T,5,141426,4,3417,3417,4,0,1,5421
17,1,T,6,153379,4,6158,6158,4,0,1,4137
17,1,T,7,165048,5,52186,52186,5,0,1,5363
17,1,T,8,177938,5,42731,42731,5,0,1,5127
17,1,T,9,191598,6,392487,394287,4,2,0,8670
17,1,T,10,208799,6,378294,382794,3,3,0,7133
