Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5803571428571428,{}
RandomForestClassifier,0.6875,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 40}"
KNeighborsClassifier,0.6026785714285714,"{'n_neighbors': 10, 'p': 2}"
LogisticRegression,0.5982142857142857,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6339285714285714,"{'C': 1.5, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.6160714285714286,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5491071428571429,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
