sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
17,1,413.285,2436,3136,1108,4,5,0.8
17,1,2798.31,12521,17336,668,26,32,0.8125
17,2,370.425,2113,2512,956,4,4,1
17,2,2798.31,47171,21921,724,26,34,0.764706
17,1,253.802,2812,2503,1036,4,4,1
17,1,3074.89,13521,19334,724,26,30,0.866667
17,2,350.399,1825,2176,752,4,5,0.8
17,2,2871.24,24629,25416,648,26,40,0.65
17,1,421.019,1610,3880,1085,4,6,0.666667
17,1,2871.24,15274,19103,636,26,35,0.742857
17,2,329.857,2018,1576,596,4,4,1
17,2,2745.46,44422,19392,707.5,26,35,0.742857
17,1,428.798,1275,1984,696,4,5,0.8
17,1,2752.5,14378,16896,564,26,35,0.742857
17,2,404.614,1683,2433,908,4,4,1
17,2,2752.5,24040,15920,608,26,35,0.742857
17,1,229.063,2245,1543,604,4,6,0.666667
17,1,2745.46,18359,21017,668,26,43,0.604651
17,2,348.742,1930,1776,655.5,4,5,0.8
17,2,3074.89,26015,19488,584,26,35,0.742857
