sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
20,1,307.881,35390,9728,1788.5,4,8,0.5
20,1,2617.3,1289,26921,896,26,30,0.866667
20,2,433.699,1300,26425,1410.5,4,29,0.137931
20,2,2469.62,1490,45008,1056,26,37,0.702703
20,1,424.36,1261,3136,1110.5,4,4,1
20,1,2469.62,1034,33215,1180.5,26,32,0.8125
20,2,329.214,1108,3217,1078,4,4,1
20,2,2617.3,1394,27855,951.5,26,28,0.928571
20,1,403.176,1878,2969,1200.5,4,5,0.8
20,1,2850.39,1210,27183,803,26,31,0.83871
20,2,314.932,1694,4255,1476,4,5,0.8
20,2,2400.33,1097,22225,761,26,28,0.928571
20,1,489.142,1525,2616,928,4,4,1
20,1,2400.33,995,27976,828,26,33,0.787879
20,2,411.423,1687,2992,1044,4,5,0.8
20,2,2521.11,1394,22192,739.5,26,27,0.962963
20,1,407.482,894,3448,1152,4,6,0.666667
20,1,2521.11,1066,25463,996,26,27,0.962963
20,2,323.812,1669,4447,1535,4,4,1
20,2,2850.39,1081,43127,1108.5,26,42,0.619048
