Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.611111111111111,{}
RandomForestClassifier,0.6805555555555556,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6555555555555556,"{'n_neighbors': 1, 'p': 1}"
LogisticRegression,0.611111111111111,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6972222222222222,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6555555555555556,{'max_iter': 100}
XGBClassifier,0.5888888888888889,{'max_depth': 3}
