subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
49,1,P,-1,18281,3,135,135,3,0,1,4204
49,1,P,-2,27998,3,248,248,3,0,1,3630
49,1,P,-3,37134,3,679,679,3,0,1,3462
49,1,T,1,49585,2,85,85,2,0,1,2595
49,1,T,2,56686,2,64,64,2,0,1,2783
49,1,T,3,64975,3,472,472,3,0,1,2710
49,1,T,4,73190,3,815,815,3,0,1,3415
49,1,T,5,83110,4,3417,3417,4,0,1,3518
49,1,T,6,93133,4,6158,6158,4,0,1,4415
49,1,T,7,105054,5,52186,52196,4,1,0,5407
49,1,T,8,117966,5,42731,42731,5,0,1,4439
49,1,T,9,130910,6,392487,392487,6,0,1,4671
49,1,T,10,144086,6,378294,387294,4,2,0,5478
49,1,T,11,159069,7,5917428,5917428,7,0,1,8080
49,1,T,12,176654,7,5792846,574289,4,3,0,6487
49,1,T,13,193646,8,58192647,582167,2,6,0,4871
49,1,T,14,209022,8,59367243,59367243,8,0,1,6975
49,1,T,15,227502,9,538712469,538724169,6,3,0,5463
49,1,T,16,244470,9,426817935,421687359,3,6,0,9807
