subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
27,1,P,-1,1,9434,10819,1385,1385,1,803,495
27,1,P,-1,2,9434,11475,2041,406,3,953,390
27,1,P,-1,3,9434,12163,2729,438,5,833,300
27,1,P,-2,1,23227,25059,1832,1832,4,623,360
27,1,P,-2,2,23227,25587,2360,278,2,503,465
27,1,P,-2,3,23227,26402,3175,565,8,638,90
27,1,P,-3,1,32995,35075,2080,2080,6,998,210
27,1,P,-3,2,32995,35954,2959,629,7,458,180
27,1,P,-3,3,32995,36802,3807,597,9,818,120
27,1,T,1,1,55007,56506,1499,1499,8,638,90
27,1,T,1,2,55007,57314,2307,557,5,833,300
27,1,T,2,1,62893,64363,1470,1470,6,998,210
27,1,T,2,2,62893,65491,2598,878,4,623,360
27,1,T,3,1,72004,72675,671,671,4,623,360
27,1,T,3,2,72004,73507,1503,582,7,458,180
27,1,T,3,3,72004,74219,2215,462,2,503,465
27,1,T,4,1,80461,81506,1045,1045,8,638,90
27,1,T,4,2,80461,82331,1870,575,1,803,495
27,1,T,4,3,80461,83083,2622,501,5,833,300
27,1,T,5,1,90685,91419,734,734,3,953,390
27,1,T,5,2,90685,92323,1638,654,4,623,360
27,1,T,5,3,90685,93019,2334,446,1,803,495
27,1,T,5,4,90685,93906,3221,637,7,458,180
27,1,T,6,1,101965,102882,917,917,6,998,210
27,1,T,6,2,101965,103683,1718,551,1,803,495
27,1,T,6,3,101965,104379,2414,446,5,833,300
27,1,T,6,4,101965,105122,3157,493,8,638,90
27,1,T,7,1,113765,114466,701,701,5,833,300
27,1,T,7,2,113765,115163,1398,446,2,503,465
27,1,T,7,3,113765,115698,1933,285,1,803,495
27,1,T,7,4,113765,116466,2701,517,8,638,90
27,1,T,7,5,113765,117026,3261,309,6,998,210
27,1,T,8,1,125613,126242,629,629,4,623,360
27,1,T,8,2,125613,127115,1502,623,2,503,465
27,1,T,8,3,125613,127762,2149,396,7,458,180
27,1,T,8,4,125613,128570,2957,557,1,803,495
27,1,T,8,5,125613,129009,3396,188,3,953,390
27,1,T,9,1,138157,142802,4645,4645,9,818,120
27,1,T,9,2,138157,143563,5406,510,3,953,390
27,1,T,9,3,138157,144458,6301,645,2,503,465
27,1,T,9,4,138157,144939,6782,230,4,623,360
27,1,T,9,5,138157,145530,7373,341,8,638,90
27,1,T,9,6,138157,145994,7837,213,7,458,180
27,1,T,10,1,155109,156099,990,990,3,953,390
27,1,T,10,2,155109,161458,6349,5109,2,503,465
27,1,T,10,3,155109,162594,7485,885,8,638,90
27,1,T,10,4,155109,163258,8149,413,7,458,180
27,1,T,10,5,155109,164187,9078,678,4,623,360
