Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.42500000000000004,{}
RandomForestClassifier,0.55,"{'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6,"{'n_neighbors': 5, 'p': 1}"
LogisticRegression,0.2833333333333333,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.575,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6166666666666667,"{'activation': 'relu', 'hidden_layer_sizes': (5, 5), 'max_iter': 1000, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5958333333333333,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
