Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5716666666666667,{}
RandomForestClassifier,0.5833333333333334,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.5549999999999999,"{'n_neighbors': 1, 'p': 1}"
LogisticRegression,0.5633333333333332,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.58,"{'C': 2.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.63,"{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'max_iter': 500, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
