subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
13,0,practice,P,1,2,783,284,P,1,NONE,0,0,41973,1452
13,0,practice,P,2,4,783,484,P,1,NONE,0,0,44456,1452
13,0,practice,P,3,2,783,284,P,1,NONE,0,0,46938,1452
13,0,practice,P,4,3,583,484,P,1,NONE,0,0,49418,1453
13,0,practice,P,5,2,783,284,P,1,NONE,0,0,51900,1452
13,0,practice,P,6,3,583,484,P,1,NONE,0,0,54380,1452
13,0,practice,P,7,3,583,484,R,0,NONE,0,1,56863,1453
13,0,practice,P,8,1,583,284,R,0,NONE,0,1,58326,1451
13,0,practice,P,9,2,783,284,P,1,NONE,0,0,59788,1453
13,0,practice,P,10,3,583,484,P,1,NONE,0,0,62270,1453
13,1,test,P,1,1,583,284,P,1,389|196|1|<pressed>,1,1,91548,467
13,1,test,P,2,2,783,284,P,1,389|196|1|<pressed>,1,1,93051,355
13,1,test,P,3,1,583,284,P,1,389|196|1|<pressed>,1,1,94551,350
13,1,test,P,4,1,583,284,P,1,389|196|1|<pressed>,1,1,96050,356
13,1,test,P,5,2,783,284,P,1,389|196|1|<pressed>,1,1,97550,329
13,1,test,P,6,2,783,284,R,0,389|196|1|<pressed>,1,0,99051,332
13,1,test,P,7,4,783,484,R,0,389|196|1|<pressed>,1,0,100552,335
13,1,test,P,8,3,583,484,P,1,389|196|1|<pressed>,1,1,102050,435
13,1,test,P,9,1,583,284,P,1,387|196|1|<pressed>,1,1,103550,384
13,1,test,P,10,2,783,284,P,1,387|196|1|<pressed>,1,1,105051,388
13,1,test,P,11,3,583,484,P,1,387|196|1|<pressed>,1,1,106551,272
13,1,test,P,12,1,583,284,P,1,376|196|1|<pressed>,1,1,108051,387
13,1,test,P,13,1,583,284,P,1,372|196|1|<pressed>,1,1,109550,335
13,1,test,P,14,4,783,484,P,1,372|196|1|<pressed>,1,1,111049,501
13,1,test,P,15,3,583,484,P,1,374|195|1|<pressed>,1,1,112551,296
13,1,test,P,16,2,783,284,R,0,NONE,0,1,114051,1453
13,1,test,P,17,2,783,284,P,1,363|195|1|<pressed>,1,1,115550,512
13,1,test,P,18,1,583,284,R,0,342|212|1|<pressed>,1,0,117051,300
13,1,test,P,19,1,583,284,P,1,321|212|1|<pressed>,1,1,118550,352
13,1,test,P,20,4,783,484,P,1,321|212|1|<pressed>,1,1,120050,525
13,1,test,P,21,2,783,284,P,1,325|211|1|<pressed>,1,1,121550,319
13,1,test,P,22,2,783,284,P,1,325|211|1|<pressed>,1,1,123050,413
13,1,test,P,23,1,583,284,P,1,317|211|1|<pressed>,1,1,124551,423
13,1,test,P,24,3,583,484,P,1,315|211|1|<pressed>,1,1,126050,427
13,1,test,P,25,2,783,284,P,1,315|211|1|<pressed>,1,1,127551,455
13,1,test,P,26,4,783,484,R,0,NONE,0,1,129050,1453
13,1,test,P,27,1,583,284,R,0,NONE,0,1,130550,1453
13,1,test,P,28,1,583,284,P,1,315|211|1|<pressed>,1,1,132050,513
13,1,test,P,29,1,583,284,P,1,315|211|1|<pressed>,1,1,133549,313
13,1,test,P,30,4,783,484,P,1,315|211|1|<pressed>,1,1,135051,314
13,1,test,P,31,1,583,284,R,0,315|211|1|<pressed>,1,0,136550,297
13,1,test,P,32,4,783,484,P,1,308|222|1|<pressed>,1,1,138051,339
13,1,test,P,33,3,583,484,P,1,308|222|1|<pressed>,1,1,139549,512
13,1,test,P,34,1,583,284,P,1,308|222|1|<pressed>,1,1,141051,412
13,1,test,P,35,1,583,284,P,1,308|222|1|<pressed>,1,1,142552,317
13,1,test,P,36,4,783,484,P,1,308|222|1|<pressed>,1,1,144050,340
13,1,test,P,37,4,783,484,P,1,308|222|1|<pressed>,1,1,145550,520
13,1,test,P,38,3,583,484,R,0,308|221|1|<pressed>,1,0,147052,370
13,1,test,P,39,1,583,284,P,1,308|221|1|<pressed>,1,1,148550,512
13,1,test,P,40,3,583,484,P,1,308|221|1|<pressed>,1,1,150050,348
13,1,test,P,41,1,583,284,P,1,308|221|1|<pressed>,1,1,151550,441
13,1,test,P,42,4,783,484,P,1,292|232|1|<pressed>,1,1,153050,316
13,1,test,P,43,4,783,484,R,0,281|229|1|<pressed>,1,0,154552,350
13,1,test,P,44,2,783,284,P,1,279|229|1|<pressed>,1,1,156050,324
13,1,test,P,45,3,583,484,P,1,279|229|1|<pressed>,1,1,157551,309
13,1,test,P,46,1,583,284,P,1,279|229|1|<pressed>,1,1,159051,338
13,1,test,P,47,4,783,484,P,1,279|229|1|<pressed>,1,1,160550,473
13,1,test,P,48,2,783,284,P,1,270|225|1|<pressed>,1,1,162051,426
13,1,test,P,49,3,583,484,P,1,270|225|1|<pressed>,1,1,163552,430
13,1,test,P,50,4,783,484,P,1,270|225|1|<pressed>,1,1,165050,492
13,1,test,P,51,1,583,284,R,0,270|225|1|<pressed>,1,0,166551,439
13,1,test,P,52,3,583,484,P,1,266|228|1|<pressed>,1,1,168051,404
13,1,test,P,53,3,583,484,R,0,NONE,0,1,169550,1452
13,1,test,P,54,3,583,484,P,1,278|226|1|<pressed>,1,1,171051,396
13,1,test,P,55,1,583,284,P,1,278|226|1|<pressed>,1,1,172551,471
13,1,test,P,56,3,583,484,P,1,278|226|1|<pressed>,1,1,174050,341
13,1,test,P,57,3,583,484,P,1,278|226|1|<pressed>,1,1,175550,543
13,1,test,P,58,3,583,484,P,1,278|226|1|<pressed>,1,1,177050,316
13,1,test,P,59,2,783,284,R,0,NONE,0,1,178550,1453
13,1,test,P,60,2,783,284,R,0,NONE,0,1,180050,1453
13,1,test,P,61,2,783,284,P,1,281|240|1|<pressed>,1,1,181550,658
13,1,test,P,62,2,783,284,P,1,210|550|1|<pressed>,1,1,183051,315
13,1,test,P,63,2,783,284,R,0,174|536|1|<pressed>,1,0,184550,288
13,1,test,P,64,1,583,284,P,1,174|536|1|<pressed>,1,1,186050,373
13,1,test,P,65,2,783,284,P,1,174|536|1|<pressed>,1,1,187549,449
13,1,test,P,66,2,783,284,P,1,174|536|1|<pressed>,1,1,189052,346
13,1,test,P,67,3,583,484,P,1,174|536|1|<pressed>,1,1,190550,465
13,1,test,P,68,4,783,484,P,1,174|536|1|<pressed>,1,1,192051,340
13,1,test,P,69,4,783,484,P,1,174|536|1|<pressed>,1,1,193551,413
13,1,test,P,70,3,583,484,R,0,NONE,0,1,195049,1452
13,1,test,P,71,1,583,284,P,1,174|536|1|<pressed>,1,1,196549,409
13,1,test,P,72,1,583,284,P,1,174|536|1|<pressed>,1,1,198051,363
13,1,test,P,73,1,583,284,P,1,174|536|1|<pressed>,1,1,199551,335
13,1,test,P,74,3,583,484,R,0,NONE,0,1,201050,1452
13,1,test,P,75,1,583,284,P,1,174|536|1|<pressed>,1,1,202550,488
13,1,test,P,76,1,583,284,P,1,172|536|1|<pressed>,1,1,204050,389
13,1,test,P,77,2,783,284,P,1,172|536|1|<pressed>,1,1,205550,423
13,1,test,P,78,3,583,484,P,1,158|520|1|<pressed>,1,1,207051,355
13,1,test,P,79,3,583,484,R,0,NONE,0,1,208552,1452
13,1,test,P,80,1,583,284,P,1,161|517|1|<pressed>,1,1,210050,339
13,1,test,P,81,3,583,484,P,1,82|536|1|<pressed>,1,1,211550,455
13,1,test,P,82,1,583,284,P,1,84|524|1|<pressed>,1,1,213051,355
13,1,test,P,83,3,583,484,P,1,84|524|1|<pressed>,1,1,214549,345
13,1,test,P,84,2,783,284,P,1,84|524|1|<pressed>,1,1,216052,521
13,1,test,P,85,2,783,284,R,0,NONE,0,1,217551,1453
13,1,test,P,86,4,783,484,P,1,85|519|1|<pressed>,1,1,219050,397
13,1,test,P,87,4,783,484,P,1,84|519|1|<pressed>,1,1,220550,401
13,1,test,P,88,4,783,484,P,1,60|523|1|<pressed>,1,1,222051,387
13,1,test,P,89,4,783,484,P,1,58|528|1|<pressed>,1,1,223549,346
13,1,test,P,90,3,583,484,P,1,12|556|1|<pressed>,1,1,225050,512
13,1,test,P,91,1,583,284,P,1,9|551|1|<pressed>,1,1,226550,432
13,1,test,P,92,1,583,284,P,1,13|521|1|<pressed>,1,1,228049,485
13,1,test,P,93,4,783,484,P,1,15|480|1|<pressed>,1,1,229551,496
13,1,test,P,94,2,783,284,P,1,0|454|1|<pressed>,1,1,231051,499
13,1,test,P,95,4,783,484,P,1,6|436|1|<pressed>,1,1,232551,431
13,1,test,P,96,4,783,484,P,1,16|382|1|<pressed>,1,1,234051,324
13,1,test,P,97,3,583,484,R,0,NONE,0,1,235550,1452
13,1,test,P,98,1,583,284,P,1,16|375|1|<pressed>,1,1,237049,421
13,1,test,P,99,4,783,484,P,1,9|344|1|<pressed>,1,1,238551,335
13,1,test,P,100,4,783,484,P,1,10|337|1|<pressed>,1,1,240051,348
13,1,test,P,101,4,783,484,P,1,17|311|1|<pressed>,1,1,241551,327
13,1,test,P,102,2,783,284,P,1,2|364|1|<pressed>,1,1,243051,500
13,1,test,P,103,1,583,284,P,1,3|330|1|<pressed>,1,1,244551,327
13,1,test,P,104,3,583,484,R,0,3|328|1|<pressed>,1,0,246050,363
13,1,test,P,105,1,583,284,P,1,3|328|1|<pressed>,1,1,247551,359
13,1,test,P,106,1,583,284,P,1,3|328|1|<pressed>,1,1,249050,405
13,1,test,P,107,3,583,484,P,1,12|283|1|<pressed>,1,1,250551,584
13,1,test,P,108,3,583,484,P,1,15|293|1|<pressed>,1,1,252051,422
13,1,test,P,109,2,783,284,P,1,24|292|1|<pressed>,1,1,253552,423
13,1,test,P,110,2,783,284,P,1,25|292|1|<pressed>,1,1,255051,387
13,1,test,P,111,3,583,484,P,1,13|296|1|<pressed>,1,1,256551,431
13,1,test,P,112,4,783,484,P,1,13|296|1|<pressed>,1,1,258051,475
13,1,test,P,113,4,783,484,P,1,13|296|1|<pressed>,1,1,259551,383
13,1,test,P,114,3,583,484,R,0,13|296|1|<pressed>,1,0,261051,482
13,1,test,P,115,4,783,484,P,1,13|296|1|<pressed>,1,1,262550,584
13,1,test,P,116,1,583,284,R,0,13|296|1|<pressed>,1,0,264051,307
13,1,test,P,117,4,783,484,R,0,13|304|1|<pressed>,1,0,265550,258
13,1,test,P,118,3,583,484,P,1,17|311|1|<pressed>,1,1,267050,452
13,1,test,P,119,2,783,284,R,0,NONE,0,1,268550,1452
13,1,test,P,120,3,583,484,P,1,16|314|1|<pressed>,1,1,270050,443
13,1,test,P,121,1,583,284,P,1,16|314|1|<pressed>,1,1,271551,496
13,1,test,P,122,2,783,284,P,1,16|314|1|<pressed>,1,1,273051,675
13,1,test,P,123,4,783,484,P,1,16|315|1|<pressed>,1,1,274550,362
13,1,test,P,124,3,583,484,R,0,NONE,0,1,276052,1453
13,1,test,P,125,4,783,484,R,0,NONE,0,1,277550,1452
13,1,test,P,126,2,783,284,P,1,16|319|1|<pressed>,1,1,279051,548
13,1,test,P,127,4,783,484,R,0,NONE,0,1,280551,1453
13,1,test,P,128,3,583,484,R,0,NONE,0,1,282051,1454
13,1,test,P,129,3,583,484,P,1,16|311|1|<pressed>,1,1,283550,513
13,1,test,P,130,1,583,284,P,1,22|286|1|<pressed>,1,1,285051,539
13,1,test,P,131,3,583,484,P,1,0|299|1|<pressed>,1,1,286550,353
13,1,test,P,132,1,583,284,R,0,0|299|1|<pressed>,1,0,288051,371
